"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","URBAN_RURA","GRUMP","LCType"
185,5.748346,5.532777,-2.22930872077433,-1.88645210425114,1.88241697746984,0.108405308454921,1.89002323963526,0.324137009210842,0.592391991354396,2.01556298981408,0.167424964692256,"U",1,"crop"
186,6.230781,7.398828,0.877063904728878,1.19256182425939,-1.5044282042494,-0.309524831874423,0.567672761356722,-0.316654975744183,-2.46191247583368,-0.650737039169711,0.837140798216425,"R",1,"grass"
187,6.326709,7.257271,0.47812423749818,0.838347257867272,-1.19537014904061,-0.293705542796997,0.330312030472534,-0.33903664741058,0.322477719766836,-0.578978127264968,0.264018636279989,"R",1,"crop"
188,5.5255,6.765351,-0.291898807917895,1.57444955083045,-0.707073668000618,-0.193388110641062,-0.877833920491156,-0.346559741704943,0.0507306733218058,0.0716813526967468,0.333946766657043,"R",1,"grass"
189,5.837464,6.366156,-0.378250099710994,1.58820159959895,-1.89671074235662,-1.50556322127338,-0.877833920491156,-0.353438539336131,1.03394829524206,0.584538072243768,-1.67190920992634,"R",1,"crop"
190,6.315918,6.71294,0.742299948096391,-0.0917133343555602,0.105996666318597,-0.407055546623124,0.979896663653308,-0.223424449553658,-0.126348380124096,-0.110429311261871,0.847258699668015,"R",2,"grass"
191,5.638871,6.306622,-0.52250113942257,-1.37185252587367,NA,-0.51189730516307,1.87102651711548,0.313833142107326,-0.168588379522589,0.822623155545874,0.372363989785439,"R",1,"crop"
192,6.580595,5.040515,-1.58574723302937,0.656350959586279,-0.65068375146836,-0.273904057925593,-0.877833920491156,-0.286014289492024,-0.594068850264237,1.63678526997612,0.612494912505558,"R",1,"crop"
193,7.421815,4.492775,-2.17216906012358,-1.19424008357769,-0.730342443705185,-0.824910963995627,-0.877833920491156,0.0932697641223462,1.20292056912865,3.24264975708913,-4.32664778239683,"U",1,"crop"
194,6.869577,4.817972,-2.18357570600464,0.0241317810689573,-1.53576461777808,0.0811443453761886,-0.877833920491156,-0.328268122698063,0.437915682405231,1.76015613883511,-0.452680346514577,"R",1,"crop"
