"DHSCLUST","LONGNUM","LATNUM","arabiensis_crop","EVI_Sept_2011_crop","GHA_alt_crop","GHA_popden14_crop","GHA_Roaddist_crop","GHA_waterdist_crop","LC_2011_crop","LST_Day_crop","LST_Night_crop","Nightlights_crop","Rainfall_Sept11_crop","URBAN_RURA","LCType","GRUMP"
157,-1.851527,8.231822,0.403168744769387,0.0523989307932419,-0.0642426618284945,0.122254678650481,0.618724162267458,-0.150576253305974,0,0.169501034032114,0.52593897336771,-0.878770386619949,1.02413167601243,"R","grass",1
158,-1.266157,5.112673,0.169872743292296,-0.645120663456954,-2.08933061355422,-0.197138177156144,-2.18050814683845,0.553652214693644,1,0.38736968567575,-0.690704677064925,1.42866013456909,-1.2191159615551,"R","urban",2
159,-0.069205,5.922917,0.31673283222486,-0.528642090609882,0.344589583320145,0.0979415638614832,0.401122322298945,0.502629882850561,0,0.828723555527922,-1.03410916604509,-0.257179623028928,-0.828614107656502,"U","crop",1
160,-1.665748,6.197808,0.528173068641369,0.555309571270269,0.725025431878154,-0.543082944415429,-1.00027485781184,0.760107473262466,1,-0.13755676092348,-2.12927760061645,1.50055701680951,0.269610670203278,"U","urban",2
161,-1.05352,10.919104,0.722946863233752,0.900354960478684,0.519073715500782,-0.73035009959339,1.12151883017308,0.445253772547104,0,0.472722364351076,2.23001182978563,-0.696956997020911,0.914655107313449,"U","crop",1
162,-1.56886,6.752605,0.585636620134625,-0.661871067289986,0.87540428336957,-0.184839801811611,0.909005672262443,0.369701580642407,0,1.05631996960837,-0.0708240863488292,0.698382636544797,0.78756612856284,"R","grass",2
163,-1.98563,7.456395,-0.832727273710705,-0.458819091590819,1.04918125469665,-0.644244437488232,0.573930367384643,-0.666530885404314,0,-0.822553739548584,-0.341220815041037,-0.687253580124004,0.912449036281762,"U","crop",1
164,-0.857887,9.404948,0.372257055308551,-1.11647227405418,0.47538517177064,-0.612073551300844,-1.28436402118385,0.497928582135504,1,0.0533326916551291,0.509482023932138,1.30609253857545,1.10066432399439,"U","urban",2
165,-1.505776,6.99261,-2.74299063454502,-0.50227119646671,0.931879183515205,-0.994088333785703,1.0325287857892,0.240107783748663,0,-1.05802283325001,-1.22779752989773,-0.836403720111848,0.819906089376326,"U","crop",1
166,-1.300619,5.646403,0.0277197154928117,1.27371357264488,0.309692079205376,-1.08525076305962,0.422112311202469,0.13185586261693,0,-0.427311695452742,-0.605281497521385,-0.80814584692072,0.027877088670112,"R","crop",1
167,-0.205406,5.694414,0.691993253597314,-0.682562092936294,-0.735626143629162,0.522627861072471,0.179452224337678,0.905346446173079,0,0.0605174163225423,0.171202530291681,1.59465251062766,-1.38199407230813,"R","grass",2
